"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"NY","Rensselaer","2012",177,3262.132,5.6528304620242236,18792253.5,"36083","36","083"
"NY","Richmond","2012",108,1471.552,6.2423539980869159,8023253.4,"36159","36","159"
"NY","Rockland","2012",126,972.56,5.3971196185840336,5205884.74,"36087","36","087"
"NY","Saratoga","2012",175,3436.78,5.3500188805694805,16427896.78,"36091","36","091"
"NY","Schenectady","2012",69,1642.555,5.6642804402580645,8257131.42,"36093","36","093"
"NY","Schoharie","2012",23,269.12,6.367243059215,1836483,"36095","36","095"
"NY","Schuyler","2012",11,282.436,5.1265964477454545,1274181.78,"36097","36","097"
"NY","Seneca","2012",34,359.283,6.2197566959882353,1991198.27,"36099","36","099"
"NY","Steuben","2012",20,131.302,6.075605022595,782929.74,"36101","36","101"
"NY","St. Lawrence","2012",47,388.875,4.7911898392659574,1771435.07,"36089","36","089"
"NY","Suffolk","2012",690,8720.101,5.0776961996927007,37498628.9,"36103","36","103"
"NY","Sullivan","2012",46,580.076,5.6062335677066667,3029473.95,"36019","36","019"
"NY","Tioga","2012",4,34.56,4.7155295139,162150,"36117","36","117"
"NY","Tompkins","2012",113,1495.16,5.6314490860044643,7868997.13,"36109","36","109"
"NY","Ulster","2012",297,2316.34,5.6914605026362963,12010278.62,"36111","36","111"
"NY","Warren","2012",35,606.824,6.2867206783103448,3686937.69,"36041","36","041"
"NY","Washington","2012",47,417.572,5.5288535736953488,2205735.36,"36023","36","023"
"NY","Wayne","2012",35,418.929,5.6924634623647059,2028227.76,"36099","36","099"
"NY","Westchester","2012",346,5297.063,5.5506085079749245,22043804.23,"36119","36","119"
"NY","Wyoming","2012",9,90.092,5.3491055135888889,504790,"36109","36","109"
"NY","Yates","2012",29,352.48,5.3484432531241379,1725623,"36123","36","123"
"OH","Adams","2012",2,25.76,,,"39001","39","001"
"OH","Allen","2012",2,10.04,,,"39003","39","003"
"OH","Ashland","2012",1,22.5,,,"39003","39","003"
"OH","Ashtabula","2012",3,30.08,,,"39007","39","007"
"OH","Athens","2012",12,72.925,,,"39009","39","009"
"OH","Belmont","2012",3,34,4.79,81410,"39013","39","013"
"OH","Brown","2012",2,11.68,,,"39049","39","049"
"OH","Butler","2012",8,1463.01,,,"39013","39","013"
"OH","Carroll","2012",3,53.97,4.15,108950,"39015","39","015"
"OH","Champaign","2012",2,72.54,,,"39021","39","021"
"OH","Clark","2012",6,4594.36,,,"39019","39","019"
"OH","Clermont","2012",4,26.13,,,"39025","39","025"
"OH","Clinton","2012",10,1062.14,,,"39035","39","035"
"OH","Columbiana","2012",1,10.56,,,"39029","39","029"
"OH","Coshocton","2012",8,238.98,4,460540,"39031","39","031"
"OH","Crawford","2012",2,65.28,,,"39033","39","033"
"OH","Cuyahoga","2012",22,3809.424,,,"39035","39","035"
"OH","Darke","2012",3,254.45,,,"39037","39","037"
"OH","Defiance","2012",3,4212.22,,,"39039","39","039"
"OH","Delaware","2012",8,66.87,,,"39045","39","045"
"OH","Erie","2012",2,18.61,,,"39049","39","049"
"OH","Fairfield","2012",1,7.92,,,"39039","39","039"
"OH","Fayette","2012",2,53.68,,,"39057","39","057"
"OH","Franklin","2012",24,1897.349,,,"39047","39","047"
"OH","Geauga","2012",5,130.97,2.76,19436,"39055","39","055"
"OH","Greene","2012",17,478.83,5.395,42685,"39055","39","055"
"OH","Hamilton","2012",38,4461.701,,,"39065","39","065"
"OH","Hancock","2012",6,1035.163,,,"39029","39","029"
"OH","Highland","2012",1,1.41,,,"39091","39","091"
"OH","Huron","2012",2,8,,,"39077","39","077"
"OH","Jefferson","2012",2,4.425,,,"39059","39","059"
"OH","Knox","2012",3,29.2,,,"39093","39","093"
"OH","Lake","2012",4,132.36,,,"39065","39","065"
"OH","Lawrence","2012",3,25.24,,,"39075","39","075"
"OH","Licking","2012",12,586.35,,,"39089","39","089"
"OH","Lorain","2012",4,2287.71,,,"39093","39","093"
"OH","Lucas","2012",7,2005.21,,,"39095","39","095"
"OH","Morrow","2012",3,300.92,,,"39049","39","049"
